,zl32,zl9,zl2,zl26,zl22,zl15,zl21,zl36,zl33,zl28,zl35,zl13,zl7,zl31,zl30,zl4,zl29,zl34,zl27,zl0,zl17,zl10,zl20,zl25,zl23,zl5,zl14,zl1,zl8,zl6,zl11,zl18,zl24,zl19,zl16,zl12,zl3,dx40,dx4,dx0,dx30,dx11,dx25,dx15,dx27
8,0.0,0.0,0.0,0.0,-0.011833242588096662,-0.00630850368991176,0.0,0.0,0.0,-0.02230370428191078,0.0,-0.0014877614549102247,-0.016672309038928884,0.0,-0.012456642758902042,-0.021395273017136313,0.0,-0.003803822405479218,-0.028437343621391026,-0.011572197095272296,-0.007437894678185619,-0.023155253684727733,0.0,0.007985080131348549,-0.013160505336375972,-0.0020785308200057806,-0.007781207323977468,-0.0037392664036167145,-0.0038126585222292286,0.021011579401369523,-0.0023434450783544614,-0.019711093572787025,-0.10695108600322001,0.0,0.009716481208764643,-0.00955037790211305,-0.030871866260569036,-0.00559486257114164,-0.003915862616850091,-0.01079616619553242,-0.007164477847822093,0.009502469492306598,-0.014293573312567087,0.018788469639007682,-0.006920606336236923
14,0.0,0.0,-0.012595067120122747,0.0,0.0,-0.005391257666581859,0.0,0.0,0.0,-0.00732743771933049,-0.008938822686077666,-0.005396136954035201,0.0,0.0,-0.012617175818921092,-0.02304133062566771,0.0,0.0,-0.019521580089447196,-0.008881410112751384,-0.013749156043661982,-0.0289269634023614,0.0,0.0,-0.01293885709400508,-0.0020663779910563285,-0.0052513092486011215,0.0,-0.0035589097597117578,0.0,-0.0038359191918012348,-0.024189455876557027,-0.10812802956731823,0.0,0.0,-0.0029211291944216226,-0.027061196496502016,-0.007261850818454915,-0.03016279214918975,-0.004142975691390854,-0.000977328933529073,-0.0150469681356174,-0.010470135718889051,-0.012601494719968409,-0.021544385719481862
64,0.0,0.0,0.0010507358697696978,0.0,0.004370962182925459,0.02145446631611092,0.026585942193798923,0.000942620188875698,0.0010609544717040675,0.0,0.001590880642676623,0.0,0.004748119332858292,0.0,0.0064165594165102036,0.047463122763373694,0.0,0.0,0.0,0.005318404738463428,0.007151054839718202,0.0,0.001932048416145138,0.010937961688762987,0.0,0.0,0.004593487668097057,0.0028847860836014316,0.0026094115860700318,0.02283620972187364,0.0,0.010596745666494767,0.16384256062340363,0.0012639051740995777,0.016645625505875394,0.0071254760544078866,0.015218353703310039,0.0,0.0033362308556953435,0.0016592884326149526,0.011976998430265062,0.023968278294484113,0.0,0.0,0.0018733545925591621
17,0.0,-0.0008856531735064108,0.0,0.0,-0.014578934406180393,-0.005660181598550189,-0.018406706515174863,-0.002864868401644377,0.0,0.0,-0.004095645698847756,-0.010704662838393192,0.0,0.0,0.0,-0.03794433254384004,0.0,0.0,-0.03261089998260429,-0.00599162448131834,-0.013483302039979331,-0.023354147660720775,0.0,-0.017039233942306203,-0.010512409644749858,0.0,-0.008717105704692932,-0.0032810217671168165,-0.01930148123904592,-0.015593201797508404,-0.003806113398615474,0.0,-0.1023603918650031,0.0,0.0,0.0,-0.004587329632560699,-0.006397369849931014,-0.019525360513190967,-0.0016464304401473742,0.0,-0.004015938288617404,0.0,-0.015699069914662744,-0.005482037206545665
67,0.0,0.0,0.0,0.0007324971184427681,0.0024835326643192074,0.003990825058185474,0.003956835096565733,0.0024025025091142654,0.001053899774728917,0.0031602244432267224,0.0,0.007245099924387204,0.0,0.0,0.009434518813980067,0.051191195656904595,0.0,0.0,0.06508020603472112,0.0,0.002574241042591248,0.02763120827807993,0.0,0.011484119350243308,0.0,0.008321022201065557,0.0,0.0,0.0044139448125733345,0.0,0.009618804308459763,0.0,0.11517753854261284,0.0,0.0,0.00916189135494859,0.004115510805185504,0.0,0.03388143903322788,0.0,0.0,0.0007899317216559787,0.0014936391933295656,0.0,0.002059917715995896
56,0.0,0.0,0.0013918594673326262,0.0,0.0015933198015266048,0.0037909631145774045,0.013614681045448877,0.004277502494012694,0.001659417163156299,0.013712000331591097,0.0,0.008068344517655729,0.007938625929022246,0.0,0.0018769088660529828,0.038913486685454766,0.0,0.0008723526588648601,0.061593580329707874,0.010153899278099066,0.00044228667022979187,0.03404622550721262,0.0,0.0007440039282627115,0.0,0.004239243502239757,0.00424636178411344,0.0037870477660215535,0.006946098736880513,0.0,0.0,0.008262175551243194,0.12861046148542438,0.0008498809003339436,0.017783886158391327,0.008995436487059826,0.006179547175919502,0.0,0.020958260605899823,0.0019572825595740584,0.0,0.0,0.0009645800251251724,0.0,0.0029848249281108075
46,0.0,0.0,0.0,0.0,0.003063407829942348,0.0034305035372308237,0.02100396357971443,0.006216701391122376,0.0,0.013258179935732011,0.0,0.005803051122517222,0.03105824486336872,0.0,0.0,0.0,0.0,0.0,0.06630220353629108,0.004832369516780385,0.01104018148447937,0.02644991006781297,0.0,0.010623661234257925,0.00600805308562484,0.0,0.0,0.0032133871625596236,0.004804586907626557,0.0,0.007119813705055138,0.012299815129461385,0.16446168706010905,0.0,0.016759583719849196,0.0,0.004039975466555431,0.0,0.0,0.0017149281894108803,0.0010300089419700842,0.0,0.0,0.0,0.006920327987073593
18,0.0,0.0,0.0,0.0,0.0,0.0,-0.021937788967555882,0.0,0.0,-0.02190115530626227,0.0,0.0,0.0,0.0,-0.003056597694971658,-0.019421591227674617,0.0,0.0,-0.031486514249322195,-0.0032794410040187794,-0.019117704794386098,-0.023741066862648125,0.0,-0.018168448781130275,0.027301192108129757,0.0,0.0,0.0,-0.005037215347870133,-0.01955586416260635,-0.008020737820921026,0.0,-0.10741938997446787,-0.030217657498983475,0.0,-0.0066253669504022505,-0.012935925197403109,-0.006579491676800803,0.0,-0.009892491438597328,-0.005135245007746092,0.0,0.0,-0.012316952689815974,0.0
12,0.0,0.0,0.0,0.0,-0.01723680967102092,-0.007468547648709807,0.0,0.0,-0.0010853106104664542,0.0,0.0,0.0,-0.028194037876096117,0.0,0.0,-0.03547502528912355,0.0,0.0,-0.03645297985524156,-0.0059107568110810665,0.0,-0.015349990101804219,0.0,0.0,-0.012340595431546718,-0.0027659101312387433,0.0,-0.006184553930902486,-0.009756630547178749,-0.02609394733769574,0.0,-0.028292203967190087,-0.10932793145758979,0.0,0.0,-0.006873464167714605,-0.004500608808759521,-0.01024851416172752,-0.0044820970274772436,-0.0062314060541047486,-0.0033424267912364747,0.0,-0.010244503554838635,-0.010687203312709725,0.0
16,0.0,0.0,0.0,0.0,-0.01549657256177421,0.0,-0.008996320088518153,-0.0073516006830730216,0.0,-0.021976591945549954,0.0,-0.0101255720556776,-0.011534706044179464,0.0,-0.004093070187208517,-0.039812780555056854,0.0,0.0,-0.030809875672992676,-0.006267696156470378,0.0,-0.011319296258654236,0.0,-0.022314100993177793,-0.015599096389072323,-0.0010167375845326282,-0.009440604257028785,0.0,-0.003397835071884403,-0.022430318204155614,-0.001998157301599881,-0.01711329187188551,-0.10836492953639695,0.0,0.0,-0.0017516033448781304,-0.009674942685024654,-0.0040438551766609765,-0.014895618482520443,-0.0011543586669370276,-0.0022032809533323316,0.0,0.0,-0.010187805801480376,-0.015174836015731552
